Latitude (decimal degrees):	6.160
Longitude (decimal degrees):	-75.580
Elevation (m):	1618
Radiation database:	PVGIS-ERA5


Slope: 90 deg. 
Azimuth: 90 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,0.0,14.92,0.14,0.0
20230101:0130,0.0,0.0,0.0,0.0,14.47,0.21,0.0
20230101:0230,0.0,0.0,0.0,0.0,14.18,0.34,0.0
20230101:0330,0.0,0.0,0.0,0.0,13.75,0.14,0.0
20230101:0430,0.0,0.0,0.0,0.0,13.29,0.34,0.0
20230101:0530,0.0,0.0,0.0,0.0,13.01,0.62,0.0
20230101:0630,0.0,0.0,0.0,0.0,12.81,0.76,0.0
20230101:0730,0.0,0.0,0.0,0.0,12.39,0.76,0.0
20230101:0830,0.0,0.0,0.0,0.0,12.1,0.76,0.0
20230101:0930,0.0,0.0,0.0,0.0,12.45,0.62,0.0
20230101:1030,0.0,0.0,0.0,0.0,12.28,0.62,0.0
20230101:1130,0.0,3.56,1.0,3.14,12.5,0.41,0.0
20230101:1230,0.0,18.78,5.27,16.68,12.59,0.28,0.0
20230101:1330,0.0,37.17,10.44,29.79,15.02,0.21,0.0
20230101:1430,0.0,57.1,16.04,42.06,14.82,0.34,0.0
20230101:1530,0.0,68.83,19.34,52.61,15.42,0.28,0.0
20230101:1630,0.0,95.85,26.92,59.55,15.83,0.14,0.0
20230101:1730,22.49,116.0,43.28,60.23,16.9,0.0,0.0
20230101:1830,74.3,117.32,39.7,54.29,17.06,0.07,0.0
20230101:1930,147.67,118.23,37.86,44.25,16.39,0.41,0.0
20230101:2030,153.77,103.8,26.56,32.22,16.56,0.28,0.0
20230101:2130,89.16,78.62,15.0,19.23,15.37,0.48,0.0
20230101:2230,95.78,37.97,4.31,5.75,16.06,0.41,0.0
20230101:2330,0.0,0.0,0.0,0.0,14.26,0.28,0.0
20230102:0030,0.0,0.0,0.0,0.0,13.21,0.28,0.0
20230102:0130,0.0,0.0,0.0,0.0,12.92,0.07,0.0
20230102:0230,0.0,0.0,0.0,0.0,12.4,0.28,0.0
20230102:0330,0.0,0.0,0.0,0.0,12.77,0.28,0.0
20230102:0430,0.0,0.0,0.0,0.0,12.82,0.21,0.0
20230102:0530,0.0,0.0,0.0,0.0,12.53,0.14,0.0
20230102:0630,0.0,0.0,0.0,0.0,12.14,0.21,0.0
